Center,Model,Nmempast,Nmemfuture,specialorderpast,specialorderfuture
"CSIRO","ACCESS1-0",1,1   
"CSIRO","ACCESS1-3",1,1   
"BCC","bcc-csm1-1",1,1 
"BCC","bcc-csm1-1-m",1,1
"BNU","BNU-ESM",1,1     
"CCCMA","CanESM2",5,5     
"NCAR","CCSM4",6,6
"NCAR","CESM1-BGC",1,1   
"NCAR","CESM1-CAM5",3,3
"NCAR","CESM1-WACCM",1,1,"2,3,4","2,3,4"
"CMCC","CMCC-CM",1,1
"CMCC","CMCC-CMS",1,1    
"CNRM","CNRM-CM5",5,5,"1,2,4,6,10","1,2,4,6,10"
"CSIRO","CSIRO-Mk3-6-0",10,10
"ICHEC","EC-EARTH",1,1,"8","8"
"LASS-CESS","FGOALS-g2",1,1
"FIO","FIO-ESM",3,3
"GFDL","GFDL-CM3",1,1
"GFDL","GFDL-ESM2G",1,1
"GFDL","GFDL-ESM2M",1,1
"GISS","GISS-E2-H",2,2
"GISS","GISS-E2-R",2,2
"UKMO","HadGEM2-AO",1,1
"UKMO","HadGEM2-CC",3,3
"UKMO","HadGEM2-ES",3,3
"INM","inmcm4",1,1
"IPSL","IPSL-CM5A-LR",4,4
"IPSL","IPSL-CM5A-MR",1,1
"IPSL","IPSL-CM5B-LR",1,1
"JAMSTEC","MIROC5",3,3
"JAMSTEC","MIROC-ESM",1,1
"JAMSTEC","MIROC-ESM-CHEM",1,1
"MPI","MPI-ESM-LR",3,3
"MPI","MPI-ESM-MR",1,1
"MRI","MRI-CGCM3",1,1
"NCC","NorESM1-M",1,1
"NCC","NorESM1-ME",1,1
